The algorithm was run for about 400 generations, below are the results.

|GenerationNumber|AverageScore|HighestScore|
|70|5763.803333333333|35213|
|71|2494.42|37148|
|72|10345.583333333334|106397|
|73|5799.2|26637|
|74|3736.2933333333335|28438|
|75|1700.9733333333334|16433|
|76|2324.23|23717|
|77|8125.78|42014|
|78|6781.0233333333335|54828|
|79|4600.83|21386|
|80|5528.71|34195|
|81|2573.28|28713|
|82|3374.7733333333335|18022|
|83|4844.483333333334|33031|
|84|3732.556666666667|49804|
|85|808.2|14368|
|86|813.44|2178|
|87|3152.5666666666666|33028|
|88|4222.553333333333|22144|
|89|4375.306666666666|30497|
|90|2830.75|21164|
|91|4147.996666666667|24436|
|92|3326.2033333333334|19440|
|93|4806.58|43102|
|94|2436.346666666667|16166|
|95|3734.0133333333333|66783|
|96|6119.6466666666665|30710|
|97|5609.386666666666|38155|
|98|5747.133333333333|51801|
|99|4347.933333333333|52463|
|100|5391.746666666667|88662|
|101|1942.0433333333333|14833|
|102|4361.193333333334|49871|
|103|5278.446666666667|41375|
|104|5760.5633333333335|61439|
|105|8721.936666666666|70713|
|106|7270.26|50927|
|107|8017.593333333333|54935|
|108|8372.893333333333|49313|
|109|5426.5233333333335|35276|
|110|1832.38|17789|
|111|5724.593333333333|34774|
|112|2535.1966666666667|24674|
|113|7312.736666666667|105480|
|114|6599.376666666667|49119|
|115|6126.51|38263|
|116|4617.873333333333|45008|
|117|8357.806666666667|58677|
|118|8604.083333333334|62034|
|119|8152.723333333333|45310|
|120|6991.586666666667|37189|
|121|8093.8966666666665|58206|
|122|5749.53|51391|
|123|3948.5133333333333|35730|
|124|8505.576666666666|63827|
|125|16611.123333333333|102552|
|126|2114.1666666666665|30500|
|127|8684.793333333333|105017|
|128|7935.6033333333335|52073|
|129|8870.323333333334|104219|
|130|15072.896666666667|90977|
|131|9793.233333333334|60927|
|132|7935.613333333334|62240|
|133|9363.903333333334|43135|
|134|11482.69|94377|
|135|13289.533333333333|142134|
|136|11228.01|113864|
|137|6630.25|56025|
|138|7074.85|77041|
|139|8000.623333333333|88660|
|140|11169.883333333333|68770|
|141|16180.753333333334|98326|
|142|10379.656666666666|71116|
|143|8072.92|53629|
|144|9612.813333333334|71705|
|145|9386.603333333333|50993|
|146|8652.533333333333|153986|
|147|13047.28|53647|
|148|8108.966666666666|109406|
|149|11852.113333333333|131158|
|150|8913.42|97816|
|151|10034.26|71749|
|152|6332.616666666667|54151|
|153|11401.256666666666|101870|
|154|12172.42|39090|
|155|7455.23|147780|
|156|15278.966666666667|104297|
|157|11592.706666666667|90485|
|158|2277.5|20094|
|159|5015.38|32807|
|160|17695.516666666666|109526|
|161|23110.023333333334|94276|
|162|13481.056666666667|108680|
|163|17411.146666666667|126665|
|164|10665.743333333334|73828|
|165|4110.736666666667|58381|
|166|9871.196666666667|77551|
|167|13712.663333333334|171541|
|168|10916.883333333333|161625|
|169|10270.103333333333|116951|
|170|25322.2|160016|
|171|21202.593333333334|131251|
|172|13922.2|51748|
|173|16976.16|167092|
|174|5113.66|66831|
|175|14437.916666666666|101740|
|176|13819.566666666668|61755|
|177|6492.63|43270|
|178|8676.566666666668|67662|
|179|10105.103333333333|85098|
|180|18723.086666666666|91379|
|181|3341.1566666666668|79767|
|182|15358.003333333334|109265|
|183|10121.096666666666|59652|
|184|12760.096666666666|101795|
|185|8326.853333333333|97281|
|186|15944.753333333334|83542|
|187|9679.69|86485|
|188|9509.093333333334|143753|
|189|11257.023333333333|97888|
|190|11687.086666666666|62503|
|191|10492.74|80277|
|192|12802.126666666667|86100|
|193|10375.11|101805|
|194|10359.3|85329|
|195|9439.216666666667|101021|
|196|8162.21|82514|
|197|25220.63|124193|
|198|12558.78|76975|
|199|6582.486666666667|81379|
|200|1455.2333333333333|29522|
|201|15720.743333333334|104997|
|202|14490.183333333332|81627|
|203|9298.743333333334|99356|
|204|15902.483333333334|86813|
|205|16441.06333333333|103134|
|206|3030.286666666667|69636|
|207|11501.74|97702|
|208|11444.393333333333|85316|
|209|5609.053333333333|92797|
|210|10983.053333333333|54596|
|211|13477.816666666668|96599|
|212|8661.383333333333|78495|
|213|15424.186666666666|113371|
|214|11920.386666666667|51253|
|215|9349.473333333333|104524|
|216|6752.276666666667|67484|
|217|14957.85|73693|
|218|10188.09|80428|
|219|8080.62|53027|
|220|9644.71|80078|
|221|15358.106666666667|77467|
|222|14243.3|78677|
|223|9320.733333333334|93259|
|224|8248.096666666666|95986|
|225|15299.16|124241|
|226|9814.123333333333|77304|
|227|6562.823333333334|148083|
|228|18597.373333333333|142613|
|229|19070.043333333335|102755|
|230|7166.046666666667|79782|
|231|7217.663333333333|41564|
|232|12440.823333333334|115893|
|233|13433.346666666666|84181|
|234|14997.143333333333|150313|
|235|20300.8|79112|
|236|17523.43666666667|131711|
|237|7872.13|70925|
|238|15009.3|100769|
|239|13165.99|75915|
|240|20118.376666666667|119712|
|241|8931.516666666666|115202|
|242|14970.61|177874|
|243|13017.91|114483|
|244|16224.36|56563|
|245|9609.876666666667|64985|
|246|12322.633333333333|74098|
|247|14370.903333333334|167425|
|248|22068.08|80188|
|249|12414.623333333333|94269|
|250|25894.74|277004|
|251|14331.693333333333|162946|
|252|6199.8966666666665|91156|
|253|20635.363333333335|124468|
|254|14747.383333333333|126752|
|255|31268.73|107463|
|256|18252.17|109752|
|257|14647.616666666667|87841|
|258|8757.233333333334|122662|
|259|21471.193333333333|126818|
|260|15661.843333333334|132340|
|261|18880.45|135788|
|262|11754.403333333334|108960|
|263|12977.416666666666|130746|
|264|6526.1033333333335|55831|
|265|11106.376666666667|89929|
|266|19746.086666666666|136938|
|267|12156.93|104498|
|268|20632.15|174257|
|269|24106.046666666665|114503|
|270|8211.38|76342|
|271|7856.77|74472|
|272|10293.556666666667|148267|
|273|17690.303333333333|91617|
|274|12872.51|75479|
|275|9463.03|111959|
|276|13002.843333333334|87570|
|277|1190.7666666666667|44627|
|278|9735.356666666667|52739|
|279|8128.41|44501|
|280|10203.19|104346|
|281|13866.656666666666|64971|
|282|5355.906666666667|84084|
|283|2313.76|43795|
|284|517.07|761|
|285|14495.573333333334|172534|
|286|11338.606666666667|39875|
|287|7300.503333333333|42375|
|288|7984.776666666667|52703|
|289|10766.73|80086|
|290|9994.226666666667|82209|
|291|9679.773333333333|69938|
|292|11152.146666666667|81813|
|293|3750.0066666666667|72856|
|294|19213.306666666667|89685|
|295|5688.19|58964|
|296|5951.296666666667|60263|
|297|17120.273333333334|95401|
|298|17308.243333333332|101869|
|299|16849.103333333333|113525|
|300|18257.236666666668|113952|
|301|12686.683333333332|111414|
|302|9229.526666666667|89613|
|303|9436.09|53225|
|304|7856.32|85263|
|305|16471.69|124891|
|306|13729.98|82460|
|307|12605.04|118923|
|308|19837.476666666666|137220|
|309|17220.72333333333|53201|
|310|14040.506666666666|71526|
|311|13148.52|106322|
|312|8203.356666666667|65751|
|313|15526.886666666667|119943|
|314|5570.46|41989|
|315|24042.22333333333|110916|
|316|12447.803333333333|139071|
|317|10713.336666666666|133277|
|318|4682.856666666667|66327|
|319|11229.7|94029|
|320|7931.456666666667|62329|
|321|15192.993333333334|101639|
|322|16167.45|190599|
|323|18932.52666666667|139175|
|324|14629.74|71189|
|325|11892.18|103824|
|326|10680.556666666667|71367|
|327|18341.15|176525|
|328|9239.623333333333|156974|
|329|10331.54|176312|
|330|16589.376666666667|126667|
|331|12979.316666666668|234539|
|332|10347.95|129978|
|333|10304.383333333333|99030|
|334|25241.406666666666|89653|
|335|16749.61|167008|
|336|10535.456666666667|123220|
|337|29285.61|131523|
|338|23634.61|152328|
|339|20329.98|119147|
|340|17890.806666666667|90073|
|341|8219.236666666666|83567|
|342|12331.786666666667|81084|
|343|11383.87|85276|
|344|11554.406666666666|84460|
|345|12546.433333333332|85934|
|346|12384.483333333334|69687|
|347|19902.726666666666|132156|
|348|14238.146666666667|78068|
|349|16893.196666666667|89701|
|350|13662.95|154936|
|351|21107.763333333332|147007|
|352|9409.403333333334|74631|
|353|13467.45|95131|
|354|13983.513333333334|105099|
|355|8820.47|99210|
|356|25178.836666666666|156250|
|357|27137.79|113135|
|358|25580.133333333335|131336|
|359|16121.836666666666|83708|
|360|19552.99|158490|
|361|11142.803333333333|111651|
|362|23872.23|113114|
|363|16940.346666666668|144749|
|364|15829.396666666667|96726|
|365|21873.013333333332|139822|
|366|18253.693333333333|96479|
|367|18914.82|135774|
|368|17680.923333333332|132123|
|369|21361.566666666666|134190|
|370|11195.336666666666|88526|
|371|13636.686666666666|115516|
|372|21051.18|159962|
|373|24247.336666666666|122080|
|374|29553.516666666666|112408|
|375|10295.74|129794|
|376|25231.296666666665|234185|
|377|32055.75|123664|
|378|41090.973333333335|352810|
|379|36336.05|182958|
|380|23059.556666666667|152087|
|381|20226.85|156744|
|382|25361.876666666667|191756|
|383|25872.406666666666|118515|
|384|2202.64|33401|
|385|16584.413333333334|95020|
|386|10328.963333333333|123707|
|387|9562.406666666666|74141|
|388|19314.43666666667|148408|
|389|17554.67|106841|
|390|12708.396666666667|92410|
|391|20822.66|80116|
|392|13422.086666666666|90075|
|393|14663.513333333334|181112|
|394|14974.183333333332|90416|
|395|26020.123333333333|107913|
|396|15179.35|81674|
